sdl12-compat 1.2.60-1
sdl2 2.26.4-1
sdl_net 1.2.8-5
sdl_sound 1.0.3-11
seatd 0.7.0-3
sed 4.9-3
semver 7.3.8-1
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slack-desktop 4.29.149-1
smbclient 4.18.0-2
snapd 2.58.3-1
snappy 1.1.9-2
sndio 1.9.0-1
solid 5.104.0-1
sonnet 5.104.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
spdlog 1.11.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotify 1:1.1.84.716-13
sqlite 3.41.2-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.1-3
starship 1.13.1-1
